425544,new product for tag test ,new-product-for-tag-test-61f03709f,TRUE,19999,19999,14999
425543,Radhuni Pure Mustard Oil,radhuni-pure-mustard-oil-4cd278d3f,TRUE,444,444,444
425542,Radhuni Chili Flakes,radhuni-chili-flakes-ecb9c59e2,TRUE,8000,200,200
425541,Radhuni Holud Gura,radhuni-holud-gura-1159b1abf,TRUE,30000,30000,24000
425540,Radhuni Butter Chicken Masala,radhuni-butter-chicken-masala-d955991a5,TRUE,2000,500,475
425539,R15 V3 Dual ABS (Indian Version),r15-v3-dual-abs-indian-version-295427176,TRUE,265000,555,555
425538,TVS Apache RTR-160CC 4V (Double Disc),tvs-apache-rtr-160cc-4v-double-disc-aa55454f6,TRUE,105787,100,100
425536,zdsfs,zdsfs-5d6d6b31a,TRUE,2000,2000,1900
425531,Product Name created by Automation 15,product-name-created-by-automation-15-d4a984ba3,TRUE,,,
425528,Product Name created by Automation 12,product-name-created-by-automation-12-48af0ad38,TRUE,,,
425515,Pringles Chips Unique,pringles-chips-unique-edd508f79,TRUE,6000,111,111
425514,Pringles Salt and Seaweed,pringles-salt-and-seaweed-0ebc8b49c,TRUE,5000,5000,5000
425513,Pringles Original,pringles-original-3d1fe309f,TRUE,8000,500,500
425470,efood gift card 2,efood-gift-card-2-a7baa32fc,TRUE,5555,5555,5555
425469,efood gift card 1,efood-gift-card-1-38c361314,TRUE,30000,6666,6666
425467,Ajib Shop,ajib-shop-52358a9c4,TRUE,5000,500,500
425458,Samsung Galaxy Note 20 5G,samsung-galaxy-note-20-5g-6b399f575,TRUE,45363456,-55.78,55.98
425457,Roshun Chinese Loose (P) - kg (2401606),roshun-chinese-loose-p-kg-2401606-9ec5de90d,TRUE,120,120,110
425456,ACI Pure Salt - 1 Kg - 2400029,aci-pure-salt-1-kg-2400029-eec8d19e8,TRUE,30000,32,22
425455,Jeans pant,jeans-pant-90e0f847e,TRUE,8000,3,3
425424,xy,xy-16fd4cc23,TRUE,,,
425421,asd,asd-6e3ca4d62,TRUE,4503.63,-87.4,1.74
425420,Mughal Shop Prod,mughal-shop-prod-64279d61b,TRUE,6000,-77.28,7.3
425418,A variant checker ,a-variant-checker-4f37e33fd,TRUE,51,51,51
425410,Palm Oil,palm-oil-03335cb82,TRUE,600,-141.27,10.9
425409,variant 3 ,variant-3-d4ce0533b,TRUE,,,
425408,variant 2 ,variant-2-d02a4b2e3,TRUE,1111,90,90
425406,test product for variant check - CMS ,test-product-for-variant-check-cms-b55907014,TRUE,,,
425402,Bata shoes,bata-shoes-194e3250c,TRUE,4444,600,600
